"Scenario_1","Scenario_2","Scenario_3","Scenario_4","Scenario_5","Scenario_6","Scenario_7","Scenario_8","Scenario_9","Scenario_10","Date"
289.73551177357,490.181997600833,495.73193208822,-74.6513532683272,143.071697017711,-115.94564399856,216.393602323254,308.573535560784,227.811193103939,173.389268321393,2024-10-19 20:00:00
294.427964218822,494.485532698248,498.383467033674,-77.3181101754861,152.884301630448,-105.248227610888,213.455160749245,314.754913633379,224.063403995479,176.12289657107,2024-10-19 21:00:00
282.861497699275,485.223999424841,487.742169419401,-103.738517486845,148.106658106362,-133.19239222009,193.331294814474,310.990156066299,211.978601551151,154.193771184498,2024-10-19 22:00:00
266.43044473892,483.28607874681,483.883253659157,-102.449554877907,139.899703937104,-145.185589581597,186.597032605368,310.055563239946,204.868055313407,145.149543750806,2024-10-19 23:00:00
267.007934324716,479.913063841093,481.762588327954,-86.7976255477493,131.184491423407,-148.615281195838,181.240829186517,315.708608909843,201.520442619188,142.193179760842,2024-10-20 00:00:00
261.690455503671,478.527054138891,480.90689108245,-106.82293836079,124.665075216671,-164.396086136798,170.799619106991,316.162513091938,195.054381090922,140.127189615097,2024-10-20 01:00:00
261.589062647909,473.965617029859,478.993438738193,-99.8096543462675,128.411900169628,-166.170911931493,171.337734200365,311.724988340385,197.00830883179,137.995923070081,2024-10-20 02:00:00
258.748666925704,471.27583189438,483.931802494532,-99.0089083387637,126.209307506805,-165.155795262734,176.943292299778,308.667795763,195.774621315056,137.970136837889,2024-10-20 03:00:00
263.794073426211,471.86882775988,493.950156201036,-98.2703062119832,116.295990767123,-156.538984073889,174.174850161741,300.636997825597,200.559113753539,133.473097350926,2024-10-20 04:00:00
267.231397567401,470.564100009513,493.789513729278,-98.0647606221254,122.681080866761,-165.224835647012,175.788180883433,295.407928096354,197.863336353098,130.381804751397,2024-10-20 05:00:00
273.672122405121,470.815310613357,493.25407064773,-88.9569277746051,136.467670657341,-160.307076365876,177.439073768116,292.805100099333,189.295930750628,127.148575325481,2024-10-20 06:00:00
278.229626572718,476.824083140483,502.77139252473,-82.5597350028259,148.353630388715,-143.055012941721,194.182602169114,300.84244584267,200.36205517904,147.2951258191,2024-10-20 07:00:00
